symbol,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.8734478602609174,0.13582280761275597,0.287501548338739,0.29359840048999064,0.20507675076978657,0.36191064265988,0.33152954735979834,0.5148232823678469,0.29147574596372633,0.45142881800130313,0.12418767234765492,0.11042006631011203,0.4849730070025515,0.16903189816342465,0.3274892254308597,0.3428251195288106,0.1418078355757377,0.3316442001238576,0.21215306364329076,0.21099065367853503,0.29963116726674266,0.002238963663789239,0.39674834459787117,0.38373316800419227,0.11597758462371043,0.24300631923625285,0.4054159307644633,0.23689639166261436,0.48159705329457253,0.3050975726573434,0.3153609240813648,0.12338197002170778,0.5472520057754245,0.4803892271699392,0.40549518549247304,0.48572375830020287,0.2808966645619448,0.5398149783971089,0.410554161066181,0.18092528201085362,0.20602768524343373,0.32308378959067136,0.4209662570632849,0.12275567915520795,0.14033560540922027,0.28304974471821465,0.19131653553543274,0.35936344934554154,0.22476960632687762
ADANIPORTS,0.8734478602609174,1.0,0.16784403202220993,0.27015970910687137,0.37544297043529795,0.21096591110885837,0.40823848356889963,0.39375577470528933,0.5830875199476184,0.33097967434794356,0.4921760879936399,0.12306458513060287,0.1174349075516026,0.5319511175737008,0.17021442054623975,0.2621978189034578,0.3543090834582636,0.15691673781603713,0.365255751667252,0.2437390285805984,0.2082745993650671,0.333015781070222,0.009134794393825925,0.44668361201018913,0.4141557986870895,0.1499203137703513,0.2706335656789538,0.43357960693178693,0.29467820312763027,0.5134125511405139,0.32096462488131905,0.30203628348065575,0.10122539199639091,0.6156731244881408,0.5181729390959673,0.5183363007828216,0.5132038452115862,0.2710425918619269,0.5737074223370094,0.4716987310155673,0.23895174466199215,0.22528615341577002,0.34010816627756035,0.46603151146200594,0.14406909781953509,0.14713423397576267,0.2963613438342313,0.20359980890434085,0.4004282600505766,0.24172058328519075
APOLLOHOSP,0.13582280761275597,0.16784403202220993,1.0,0.24986699962025513,0.17989978278836077,0.22465156804479866,0.2504490197497704,0.22056741928774706,0.2186770438853258,0.23891387749766863,0.1748893746125551,0.2289693919380707,0.23434577285187297,0.2413321034321621,0.2346716707193581,0.282308380268313,0.25742167230427787,0.2743695274264902,0.10753969866931022,0.13962644971403404,0.24500893292949769,0.05931128232054727,0.09669886749648483,0.16778280554993819,0.12372086243967736,0.11694375050842744,0.16732064961261744,0.27111571750336383,0.14218475880228704,0.23160287483687625,0.2472007435469434,0.19355152240850634,0.22354271129065623,0.19704645140157875,0.1720026831316219,0.18165046242992858,0.23273233301896432,0.15443100649951663,0.17929613585382384,0.2900658382228251,0.2938264480727831,0.09323317064047677,0.207240663904966,0.24360288024714602,0.10172734236275245,0.1681872171620243,0.2496621805105304,0.08810243274434695,0.26935854944216775,0.21796655205796733
ASIANPAINT,0.287501548338739,0.27015970910687137,0.24986699962025513,1.0,0.12917382361396126,0.17147774313220476,0.25397504132816623,0.29991910374907993,0.16547476272665576,0.14190099362942682,0.22136989117191952,0.4269072884707715,0.14172192789134289,0.1945012180252485,0.15160163396422274,0.2573790152265608,0.34528745587142773,0.1267548604368626,0.26633388289726,0.21637433890525007,0.17713023776847625,0.21634808634411137,0.2884767998013029,0.1477616911614189,0.1928095247268754,0.10354588966039724,0.2785582586903159,0.3372167900667679,0.17107655872805097,0.22574178251082783,0.14776377769770138,0.26311733656766534,0.2972369847960899,0.22860834533686206,0.1353820000011949,0.11359872106068085,0.3007941514137405,0.22171430690060273,0.11116289546908423,0.20241064173113457,0.2009766095224184,0.2477115446768309,0.11065684005052347,0.2883437831719686,0.1760600340881136,0.16554303449194874,0.30943017187474414,0.2274523585434787,0.28343148817093133,0.14674224898066876
AXISBANK,0.29359840048999064,0.37544297043529795,0.17989978278836077,0.12917382361396126,1.0,0.199652614683632,0.3995551868647692,0.35359417860830905,0.3210374601763023,0.24150789352705815,0.22080340706666576,0.12817259824118948,0.0952392893140265,0.3215545196980272,0.09478377884334031,0.28641047072663445,0.36590661419655623,0.1131493013181921,0.42205126812068056,0.25221001110009855,0.17417028227303905,0.22492370060996295,0.025347678433948424,0.6312294012129903,0.33926489242034236,0.08863274528463916,0.2779861460403906,0.3775391312817736,0.2818890487404678,0.3526976490706816,0.2412662585404819,0.2616354021330038,0.10405202063899488,0.39381048998832835,0.31118305662297113,0.2905296640819641,0.4248151096744547,0.18092391178617723,0.5148068264221025,0.4496669142985691,0.15144491993542952,0.1447247301856786,0.23374600226930434,0.3771357174346877,0.10467990447275108,0.13714522957705108,0.14820974471513423,0.20141259504796502,0.39960225177870695,0.21244123049830735
BAJAJ-AUTO,0.20507675076978657,0.21096591110885837,0.22465156804479866,0.17147774313220476,0.199652614683632,1.0,0.2362512251204296,0.17982691254021338,0.23608290157852485,0.2595014171004946,0.2198977777387709,0.09819081849138689,0.04161147862018996,0.23717486050786252,0.10525626238215209,0.27990963364832694,0.19963788008411484,0.12540866333868134,0.1845496857416636,0.1925744369475176,0.4094316615897729,0.22300980796296482,0.1241453133471844,0.10360078455232533,0.20816367446570386,-0.005445598757103715,0.14286142859108925,0.23179075072812932,0.08304397023602297,0.17811366727081968,0.27106069617467143,0.3399011785997294,0.1780326968803206,0.20353579632454494,0.19092157167819174,0.16815581301947927,0.24683407529935264,0.19191330562590733,0.15955233719937384,0.30214689290745744,0.14493842401506102,0.18680795925936283,0.29826344837909763,0.2959926583178737,0.016634633351842846,0.03827152764704707,0.20099317975904207,0.22608526446357896,0.261875721174765,0.10430339879688728
BAJAJFINSV,0.36191064265988,0.40823848356889963,0.2504490197497704,0.25397504132816623,0.3995551868647692,0.2362512251204296,1.0,0.7544982808033162,0.3436764519287092,0.2508125169071529,0.3514339881278582,0.23249311688999824,0.12498463610641153,0.28939356230808894,0.25528642107629484,0.2452975963392098,0.4379522198264476,0.26928352318304727,0.327615799921105,0.35075139734080857,0.23473753563300462,0.30230565992663183,0.14323178824402605,0.40845672732367877,0.42813479907761653,0.2417985486283944,0.3085872333227975,0.45914070555229924,0.2771958872802045,0.40286683131006773,0.3390028118740606,0.3302027229976997,0.27473422778470086,0.39293049696365323,0.31181350216522147,0.30466526926316756,0.41000599414336214,0.4170916270711769,0.42852200526837014,0.47004526737867075,0.20392057659135326,0.30540654478465945,0.28394654673166125,0.4663731198803511,0.23455367433202637,0.20691598493292598,0.33148699688505645,0.2019357862965248,0.465124041945545,0.3086632500997603
BAJFINANCE,0.33152954735979834,0.39375577470528933,0.22056741928774706,0.29991910374907993,0.35359417860830905,0.17982691254021338,0.7544982808033162,1.0,0.309815115636635,0.2906532260339274,0.27329150079167575,0.20640944935471628,0.056091897893428215,0.26921026235222467,0.09073138986241859,0.18789080558292623,0.36840703111775763,0.1895740211839568,0.33000004780484893,0.31176373444013583,0.17056517974768726,0.25349149674766935,0.14488272658320864,0.34131769895632763,0.40935083369481007,0.19740847467399447,0.3071296125809259,0.3994015459613848,0.30517446496089495,0.379482850656999,0.27377895802768926,0.2829356030034546,0.25477908655149495,0.32903590047488723,0.317073098003346,0.241854835890301,0.41570103674383896,0.33538644696758235,0.3972254247207225,0.4611388278346313,0.14053775096030743,0.240507507683789,0.21497451933894696,0.38476783455350244,0.18383905370098794,0.17466652220332307,0.27055841582069123,0.23115368197533237,0.4370499463145284,0.2428329928961001
BEL,0.5148232823678469,0.5830875199476184,0.2186770438853258,0.16547476272665576,0.3210374601763023,0.23608290157852485,0.3436764519287092,0.309815115636635,1.0,0.3083448874738545,0.5032416983008244,0.07626407082239137,0.10419366769175861,0.6233318355263762,0.13386262799245877,0.2779419460378345,0.3346814696467387,0.22807333681008202,0.3210912674649106,0.24373076279505967,0.08751196764626713,0.3877240992562228,-0.045532600570833075,0.3016154488909573,0.30074238349540305,0.16321702997501145,0.22640979138448322,0.4614870765691899,0.2552796933306282,0.5815491424757792,0.3650442987257317,0.2149876149003127,0.07818538900923241,0.60604376739071,0.5646676915035319,0.5496343065160267,0.4860660249921976,0.2007604206277992,0.5746142851596704,0.4681976418280596,0.17161548322525888,0.176477834496509,0.36586842800805214,0.5325144601704517,0.12725279035167858,0.22498841961363372,0.1686156758827605,0.2628813683131606,0.4214074812552836,0.25647887355966237
BHARTIARTL,0.29147574596372633,0.33097967434794356,0.23891387749766863,0.14190099362942682,0.24150789352705815,0.2595014171004946,0.2508125169071529,0.2906532260339274,0.3083448874738545,1.0,0.26894436703118324,0.1254661806948724,0.1157472318446922,0.2866476196705075,0.17419974581121336,0.29399102022251783,0.2966527093905304,0.24908655469312682,0.21511670661214244,0.20786685550352835,0.18382560845582605,0.29901354137954805,0.13094882687490667,0.3702265448049861,0.22429544720987535,0.28432430884194526,0.25564033453017826,0.3658270445212622,0.33434933210427664,0.32241280533843136,0.2828224128002303,0.343578399613817,0.0953655499219985,0.36783107898007267,0.3474088013773094,0.3147174413603789,0.3612296462793796,0.2418487144227503,0.2945774878639633,0.3605244257320872,0.26819702628304265,0.24349605313751824,0.2668532050228884,0.30769945830199597,0.1794358132948208,0.27133018227730177,0.2716750022722411,0.24683624803233187,0.34718827944098113,0.2518156069688366
BPCL,0.45142881800130313,0.4921760879936399,0.1748893746125551,0.22136989117191952,0.22080340706666576,0.2198977777387709,0.3514339881278582,0.27329150079167575,0.5032416983008244,0.26894436703118324,1.0,0.01597213325482835,0.07588854715661648,0.5958415831097511,0.18706885864521317,0.2460831624434963,0.34756069012049823,0.14662801707159367,0.23196946166926033,0.18318834735477948,0.23422577945455098,0.34657595527952917,0.017921280232086723,0.22247248823002905,0.3581146191809261,0.13035517713417072,0.18628116533786834,0.37109871305346964,0.14467257811836998,0.47179060435880044,0.2831511858519844,0.2891426092525735,0.07351018146326063,0.5921514480494086,0.5962001957046087,0.5305561042378243,0.4838213127189764,0.23963206211659258,0.5254661404800646,0.3871940643332816,0.2120296754110465,0.1621817634479343,0.42121349383616563,0.47305044873806024,0.1889833150477281,0.2030885534694718,0.27798650232547584,0.21471603159812097,0.40195018589706755,0.21917447719170344
BRITANNIA,0.12418767234765492,0.12306458513060287,0.2289693919380707,0.4269072884707715,0.12817259824118948,0.09819081849138689,0.23249311688999824,0.20640944935471628,0.07626407082239137,0.1254661806948724,0.01597213325482835,1.0,0.16118672437891815,0.06249086705166791,0.18817696770102116,0.10329635764925306,0.22039635114937622,0.12381371280635128,0.06494902789275381,-0.0011092523139435292,0.181650557139818,0.10043369805757985,0.46901545159041813,0.044920203775096285,0.11833949032718233,0.11028269723336728,0.37604450981985693,0.19309107206841186,0.21638744334940252,0.09157959972956549,0.13239923107310433,0.17630183310325362,0.4839470807818414,0.08022310448938345,0.03580285359991378,-0.02471904933140118,0.13943278214009153,0.08503298307886797,-0.00654712627160875,0.11593395889714365,0.2011848368963166,0.4079474440436299,0.10865192085640775,0.1115275802331003,0.12902061137485432,0.13046285739972682,0.07625061765263248,0.03488126927763027,0.1840999710365778,0.17230736663375018
CIPLA,0.11042006631011203,0.1174349075516026,0.23434577285187297,0.14172192789134289,0.0952392893140265,0.04161147862018996,0.12498463610641153,0.056091897893428215,0.10419366769175861,0.1157472318446922,0.07588854715661648,0.16118672437891815,1.0,0.12474712530941863,0.40835085052793646,0.08094784655843104,0.17248389762094718,0.041596880281016636,-0.021238085143110142,0.08076103398594692,0.14847872370339082,0.11189839883970765,0.003243460466816384,0.09051711206733967,0.04180415155409469,0.054734404165856156,0.1214558767224225,0.14905759652306588,0.06468856632650145,0.15983631391009467,0.15906761267720668,0.07294341362434195,0.11213700243581311,0.0992778911643289,0.0415251300357165,0.14394042149070022,0.05369552000465499,0.13632648284394533,0.03893819999403941,0.09790475905546264,0.40611583391547335,0.06299977021375004,0.06883326387504525,0.1322946955754385,0.055210006905765364,0.05222413627209601,0.1017201408168854,0.1360512561531028,0.12348183001181125,0.07700384185111368
