month,symbol,monthly_return,rank
2023-10,TATASTEEL,-0.072265625,1
2023-10,TECHM,-0.06828646604176941,2
2023-10,SBIN,-0.06202836056057731,3
2023-10,BAJFINANCE,-0.05961017119333309,4
2023-10,APOLLOHOSP,-0.05842018382676138,5
2023-11,BAJFINANCE,-0.04684216865857413,1
2023-11,SBIN,-0.002913135593220299,2
2023-11,CIPLA,0.00919875130072837,3
2023-11,NESTLEIND,0.015222408860330062,4
2023-11,ITC,0.017986451763606606,5
2023-12,HDFCLIFE,-0.0519680422194531,1
2023-12,MARUTI,-0.026771965954070248,2
2023-12,AXISBANK,-0.0021273706603902923,3
2023-12,BAJAJFINSV,-8.897061004187012e-05,4
2023-12,SBILIFE,0.006286657535208666,5
2024-01,HDFCBANK,-0.13871385666332958,1
2024-01,ASIANPAINT,-0.12904508112246402,2
2024-01,HDFCLIFE,-0.11114536765839374,3
2024-01,NESTLEIND,-0.08447925647732746,4
2024-01,JSWSTEEL,-0.06717183226982686,5
2024-02,HINDALCO,-0.11798687089715532,1
2024-02,ITC,-0.08263716414540521,2
2024-02,KOTAKBANK,-0.07313125771499106,3
2024-02,INDUSINDBK,-0.04298737955422898,4
2024-02,HDFCBANK,-0.042929723463020306,5
2024-03,INFY,-0.0946697286517194,1
2024-03,TATACONSUM,-0.08726586077251192,2
2024-03,WIPRO,-0.07513003274898863,3
2024-03,HCLTECH,-0.06115808040873424,4
2024-03,HINDUNILVR,-0.06031871187284721,5
2024-04,HCLTECH,-0.12211729941543016,1
2024-04,KOTAKBANK,-0.09312000893505333,2
2024-04,HDFCLIFE,-0.08050413548641201,3
2024-04,APOLLOHOSP,-0.07900422006272015,4
2024-04,SUNPHARMA,-0.07804204388522332,5
2024-05,TATAMOTORS,-0.10196536291107215,1
2024-05,TITAN,-0.09151031960655179,2
2024-05,SHRIRAMFIN,-0.0883195848340497,3
2024-05,DRREDDY,-0.07883101391650107,4
2024-05,ONGC,-0.0652404526166902,5
2024-06,ADANIENT,-0.12841368904739042,1
2024-06,LT,-0.08947564245666711,2
2024-06,BPCL,-0.08745646691485529,3
2024-06,COALINDIA,-0.07651019810676304,4
2024-06,ADANIPORTS,-0.06682660437513818,5
2024-07,AXISBANK,-0.07591726761233075,1
2024-07,BAJFINANCE,-0.06456178926031542,2
2024-07,HDFCBANK,-0.052457189772460736,3
2024-07,TATASTEEL,-0.050209685758602754,4
2024-07,NESTLEIND,-0.043514660644055916,5
2024-08,MARUTI,-0.07156571762213626,1
2024-08,ADANIPORTS,-0.06807533880451529,2
2024-08,POWERGRID,-0.06563278870119092,3
2024-08,TATASTEEL,-0.0631669324175151,4
2024-08,ADANIENT,-0.061512161007071284,5
2024-09,TATAMOTORS,-0.10799432572186894,1
2024-09,ONGC,-0.08767627222562835,2
2024-09,TCS,-0.055860917264794724,3
2024-09,INFY,-0.045253245100534537,4
2024-09,TECHM,-0.042176540248383104,5
2024-10,INDUSINDBK,-0.2511881960700859,1
2024-10,BAJAJ-AUTO,-0.1909240835866075,2
2024-10,NESTLEIND,-0.16405312055558646,3
2024-10,TATACONSUM,-0.16192267502612334,4
2024-10,MARUTI,-0.15870803584991638,5
2024-11,ADANIENT,-0.24461773181895236,1
2024-11,ADANIPORTS,-0.18477481353987382,2
2024-11,ASIANPAINT,-0.15907274180655478,3
2024-11,BRITANNIA,-0.14837389448538127,4
2024-11,NTPC,-0.11158380940804676,5
